PARTICIPANT|SENTNUM|SENTENCE|CODE|COMPILED
EBA1_PRE_CB_McIntyre_6_2_Essays_03517_F|4|Coral bleaching often happens in the pacific ocean? It says in the text I think this happens because when people throw things in the water it might taver to the Pacific Ocean and when it do it might hurt the coral don?t get to eat the algae the fish gives.||6 - 7 - 50
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|1|Coral bleaching is very different because there are higher waves and week wavers.|50|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|2|For example in the year 2002 there where more weeker waves than higher waves.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|3|?Upwelling in the eastern Pacific causes surface waters to be colder than those in the western Pacific.?|bck|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|4|The reason why I picked this quote was because in the eastern Pacific causes the water to be colder than in the western Pacific.|bck|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|5|A other reason why I picked this quote was because it proves that there are different water wavers.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|6|At the year 1998 was the highest severe coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|7|The bar is up to 71 or around there.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|8|But that was the highest severe in 1998 we haven?t had any other severe as 1998 there not up to 71.|bck|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|9|The average would be around the 20s to the 30s but not anything higher than the 30s.|bck|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|10|It?s still severe but not as the year 1998.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|11|?Coral is often mistaken for a rock or plant.?|bck|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|12|?But it?s really made out of tiny animals called polyps.?|bck|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|13|The reason why I picked this quote is because it tells you what it?s made out of.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|14|Also because it tells you what they mistake it for.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_03280_F|15|Lastly, I say where sunscreen because it could give you skin cancer.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_3291_F|1|I couldn?t really understand the text, but I understand some of it.|nd|NA
EBA1_PRE_CB_Sarb_6_316_essay_3291_F|2| Back in 1998 the wind trades were really weak, and water was warm.|1; 3|NA
EBA1_PRE_CB_Sarb_6_316_essay_3291_F|3|The coral bleaching was the severest year of all.||NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|1|I think coral bleaching rates vary at different times because of the water temperature.|v3 - 50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|2|And the way how that happened was probably because of from how cold or hot it is a times.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|3|I also think that is was because of the weather temperatures that made the corals bleach some of it is just healthy pink coral.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|4|In other words in my opinion I think that some coral are just healthy and pink and other corals can be bleached and look just plain and white instead of pink and healthy.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|5|In the text it shows different graphs for trade winds and coral bleaching.|v1; 50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|6|It also has a map that shows were the coral bleaching has occurred so far.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|7|It has also occurred in the Pacific Ocean.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|8|In another opinion I think that it might be the trade winds that are causing healthy pink coral to become plain white coral bleach in the Pacific Ocean.|v1 - 50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|9|I saw some pictures of what the coral looked like before when it was healthy and pink.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|10|In the text it said that coral had little tiny animals living in the coral.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|11|In the text it had a picture with arrows and the Pacific Ocean showing some animals.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|12|For the trade winds it has different colored arrows to show cool and warm waters in the Pacific Ocean.|v1|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|13|I think that if this keeps on going on this might change/our lives might change.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03278_F|14|So what I want to know is what will happen next?|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|1|I think the coral bleaching rates vary at different times because I think that in each ocean the little animals that cause that makes it coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|2|?Corals live in colonies that are made up of many polyps.?|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|3|This helped me understand the text because I kept on asking myself what is it made of?|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|4|And I think it rates at different times because maybe in some animals there are less coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|5|Which may cause less coral bleaching so I think this happens because there might be a lot of coral bleaching in one ocean and a little coral bleaching in another ocean which might cause it to be in rates of different times.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|6|Or it might be that in some oceans the water may not have those animals that cause coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|7|I think coral bleaching is like changing one color to white.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|8|Every color turns white with bleach but I am not sure about coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|9|I think it is the same just that coral bleaching happens in oceans.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|10|And in one of the graphs in 1998 there was caused a lot of coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03279_F|11|And the coral bleaching was at different dates so that is why coral bleaching is caused in different times and what is it made out of.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03282_F|1|Coral bleaching changes different times in each year my evidence is on the page 3.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03282_F|2|It said that during the years this infection happens.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03282_F|3|It is called coral bleaching which is a water problem which is a kind of problem that will give you a cause of death when the coral bleaching come during the year.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03282_F|4|And because of coral bleaching the water gets colder and hotter.|50 - v3|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03282_F|5|My evidence is on page 3 in the little picture with the little arrows that are color red and blue.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03282_F|6|Red means hot and blue means cold.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03282_F|7|I got that also on page 3.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|1|Coral bleaching happens at different times because rain can cause coral bleaching.|11 - 50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|2|Its not going to rain on the same day every year.|nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|3|?This drop in salinity threatens the balance necessary to keep the corals healthy.? |13|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|4|This is a good quote because it proved that rain can damage the coral and that?s what I said so I proved it.|nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|5|Coral bleaching happens at different times because almost every day there is a different speed of wind.|v1 - 50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|6|For example the wind is not going to be the same everyday. |nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|7|?Every few years, trade winds change.?|v1|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|8|That was a good quote because I proved that winds don?t stay the same like I said.|nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|9| Coral bleaching happens at different times because of their color.|50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|10|For example some coral gets damaged quicker then some so some coral will last or live longer.|nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|11|?Coral can survive damage from some destructive things.?|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03283_F|12|That a good quote because some can survive damage and some can?t like I said so I proved that I?m correct.|nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|1|?There are a few reasons on why coral bleaching rates vary at different times.|50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|2|One of them is because of the winds.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|3|Another is because there might be special events.|nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|4|Finally the oceans salinity.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|5|These three things can cause bleaching to vary.|50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|6|The winds can cause bleaching to vary.|v50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|7|In specific detail the shifting trade winds.|v1|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|8|They can cause water temperatures to go up and down.|v1 - v3|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|9|Also depending on the trade the corals will be effected.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|10|Also there might be events that take place in the ocean.|nd|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|11|Anything that?s from fishing to explosives.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|12|Those items or things can damage coral reefs and can possibly start bleaching.|v50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|13|Sometimes they recover though.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|14|Finally the oceans salinity.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|15|The salinity can change in shallow oceans.|v13|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|16|The coral is sensitive to salinity.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|17|Storms and other possible events bring freshwater to the saltwater.|11 - 12|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|18|The salinity drops and it effects the coral.|13|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|19|The coral becomes unbalanced and could die.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|20|In conclusions there were a few reasons.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|21|One was because of winds.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|22|Another was because of special events in the ocean.|bck|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03286_F|23|Finally storms affect them.|11 - 50|11 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03287_F|1|Cause coral bleaching changes by how many degrees.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03287_F|2|And at some years the temperature changes and then some loose there color and so they end up being bleached so they turn white.|v3 - 50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03287_F|3|Then when the wind is moving the water they end up shifting to different areas and that?s how they are different at times.|v1|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03287_F|4|And it happen probably happens in each year.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03287_F|5|And some years the temperature gets a little higher than the other years.|v3|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|1|The rates are a different time by how it goes.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|2|Pacific travels east to west.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|3|So it goes to different directions.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|4|Every years trade winds changes.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|5|Some text evidence is the trade winds weaken or reverse direction completely to blow of west to east.||NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|6|Some more evidence from the text is that ?the event occurred in 1998.?|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|7|It also changes different times by how fast the winds goes and what direction.|v1|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|8|Another thing is by what direction it goes.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|9|Its these animals that live in colonies and tend to stay in one place.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|10|In the east as temperature increases the water swells so its saying if it increases the more bigger the swells get.|v3|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|11|Coral bleaching rates at different time by how its different water.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|12|Its different by how or what direction it goes.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|13|Also by how sea level it goes.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|14|That?s how coral bleaching is different times.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|15|?Its really made up of tiny animals called polyps.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|16|These animals live in the ocean.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03288_F|17|Storms that bring a lot of rainfall like hurricanes or tropical storms.?|11|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|1|Coral bleaching rates a different time because of trade winds.|v1 - 50|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|2|Almost every year trade wind lower their strengths.|1|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|3|Coral bleaching is something that cause coral to go plain white.|50|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|4|Coral bleaching happens most often in the Pacific Ocean.|50|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|5|Sometiems coral can survive from some destructive thing.|bck|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|6|For example they can survive from an underwater mine.|bck|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|7|Most bombs don?t do affect in the water.|nd|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|8|But fore some reason fisherman or other people plant these mines in the water.|nd|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|9|There was a huge coral bleaching event that happened in 1998.|50|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03296_F|10|It was one of the worst coral bleaching.|50|1 - 50
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|1|?First, coral bleaching can be caused by little/tiny animals eating sugar from coral and the coral turns white/losing its color, it might dye.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|2|Second, zooxantallae live in coral tissues and need light to make food.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|3|During when doing photosynthesis the algae use energy from sunlight to combine CO2 in H2O.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|4|So, the coral gets more energy.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|5|Third, corals are sensitive.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|6|It tells the scientist when the water is too salty.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|7|When storms come, it brings a lot of rain.|11|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|8|Then, they bring fresh water.|11 - 12|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|9|The drop salinity threatens the balance necessary to keep corals healthy.|13|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|10|Forth, zooxanthallae can?t live outside of coral?s body because there is not enough nutrients in the tropical ocean to allow photosynthesis.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|11|Fifth, coral changes color, white when the environment of photosynthesis doesn?t agree with coral.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|12|Coral will have an disease or starve.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|13|Death too.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|14|Sixth, lastly shifting trade wind, makes the sea level by the surface.|v1|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|15|It causes major shifts around the water?s surface, coral.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03298_F|16|Seventh, coral is beautiful in many ways.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|1|Well coral bleaching is very different it happens time to time.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|2|Coral can be severe with coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|3|For example in 1998 the coral had a big rate about 75.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|4|Coral is actually not plants nor rocks.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|5|Its actually made of polyps.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|6|With coral bleaching in the way it?s a problem to them.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|7|Coral bleaching can actually affect them badly.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|8|?A lot of stress on corals from the environment may force the coral to eject their food producing algae.?|6 - 7 |NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|9|So corals can get affected and comes to a product of coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|10|Coral bleaching is very harsh to coral.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|11|It comes time to time when this happens.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|12|For example in the chart coral bleaching wasn?t as bad till 1998 that was the problem.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|13|Coral bleaching can damage coral very bad.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|14|?Bleaching makes corals more likely to get a disease or starve.?|v50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|15|Coral can survive from destructive things but not coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|16|?Examples of this include fishing using explosives and tourists who drop anchors or walk on reefs.?|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|17|But the most harmful thing to coral is coral bleaching.|50|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|18|Time to time coral somewhat can still get affected from 1998 and so on.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|19|IN 2005 it was probably reaching higher and higher.|bck|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|20|People don?t leave coral alone coral might not exist no more.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|21|People should help coral in some way.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|22|Or to have an area for coral only.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|23|Coral can be very different through time.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|24|Coral also faces their challenges.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|25|Coral can be helped and not be harmed.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|26|People can help coral retrace the color back.|nd|NA
EBA1_PRE_CB_Sarb_6_316_Essays_03299_F|27|It would be a better thing to do.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|1|Coral bleaching rates vary at different times.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|2|The Pacific trade winds go from east to west.|v1|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|3|The winds move the warm surface waters westward.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|4|These warm waters got together north of Australia, near Papua New Guinea.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|5|At the same time the deeper and colder waters in the eastern Pacific rise to the surface.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|6|This is called upwelling.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|7|I did not know any of this.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|8|Upwelling causes colder temperature in surface waters.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|9|When I read more I learned that algae needs to have a certain temperature to stay alive and also healthy.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|10| Coral bleaching is when algae die.|7 - 50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03235_F|11|The coral loses it?s color because the algae gave it the color in the first place.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|1|Well coral bleaching is bad because the coral has it?s beautiful color.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|2|The coral bleach is bad for those bleachers takes the color and the food that they eat.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|3|This is really bad for coral life.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|4|The corals need their color.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|5|Plus they need food.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|6|For they could obviously survive.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|7|The is a living thing.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|8|The passage states ?However some coral have lost their color and been bleached as plain white.?|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|9|Well plus they coral don?t get food they have a process of photosynthesis.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|10| They need light to eat out the ocean could turn of 70 to 3 degrees.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|11|So they need to have light to eat.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|12|The passage states ?they have know about changes in wind, temperatures.?|v1|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|13|This affects coral it takes there color away.|v1-50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|14|Then it takes their food away to.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|15|Plus if the corals are bleached they are not healthy.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|16|The passage states ?During bleacing, corals turn white due to eject or death of their algae.?|7-50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|17|So algae gives it it?s color.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|18|Finally coral bleaching is awful to the corals.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|19|They can lose healthiness.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03248_F|20|This is important topic of coral bleaching.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|1|The coral bleaching at a vary different time because there is enough nutrients for algae to protect the environment.|V7; 50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|2|Also ?coral can survive damages from some destructive thing, but the most dangerous threats to coral are those that result in coral bleaching.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|3|Coral bleaching refers to an event whereby corals lose their coloring.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|4|During bleaching coral turn white due to the ejection or death of their algae.?|7-50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|5|This mean that if they don?t have enough nutrients or algae they become coral bleaching and it causes to died.|7-50|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|6|Also it cause by the weather.|v11|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|7|It change there time.|nd|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|8|It may cause thunderstorm or hurricanes.|11|7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03253_F|9|These are reason that the coral bleaching rates at a vary time.||7 - 50
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|1|?Coral bleaching? changes at different times.|50|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|2|That is because when they change they are not healthy.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|3|Also if they don?t change that means they are so healthy.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|4|Although if they change they turn all white.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|5| If they don?t change they stay all orange.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|6|Also when they change it is called ?bleaching? that is when it is white.|50|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|7|The regular name is ?coral? when it is healthy.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|8|The coral bleaching is around the Pacific Ocean.|bck|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|9|Like Asia, Australia, and North America.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|10|Also in the Pacific Ocean the water is warmer.|3|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|11|And a little less cooler water.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|12|Also coral has another important thing it can survive damage from some destructive things.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|13|Mostly every time the coral loses their color.|50|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|14|Also coral bleaching is one example of how environmental stressors can negatively affect the relationship between the corals and their algae.|50|NA
EBA1_PRE_CB_Sarb_6_317_essay_03256_F|15|That is why coral changes.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|1|I?m sure there are many reasons why coral bleaching is caused by things.|50|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|2|There are some people who do it without realizing what they had just done.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|3|But then there are other people who do indispictuous things joyfully and proud that they did it.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|4| I don?t think people should be doing this.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|5|This is my opinion for the following|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|6|First of all it?s wrong because it can harm the entire ecosystem.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|7|If an animal swallows the bleach, it can kill them.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|8|Second of all, it is wrong because the person doing it can go to jail because killing is a crime.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|9|In conclusion, they shouldn?t bleach random wild life because it is risky.|nd|NA
EBA1_PRE_CB_Sarb_6_317_essay_03258_F|10|And it can kill the wild life ecosystem.|nd|NA
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|1|The thing that bleaches corals are losing algae or very little algae.|7 - 50|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|2|Coral bleaching is an example of how environmental sources can negatively affect the relationship between corals and their algae.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|3|Coral bleaching rates vary at different types depending on the weather.|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|4|Coral bleaching happens by the corals losing their algae.|7 - 50|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|5|Also it happens when the corals start losing their color and start turning plain white.|bck|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|6|Why coral bleaching rates vary at different times?|50|7 - 50
EBA1_PRE_CB_Sarb_6_317_Essays_03237_F|7| It because the water temperature.|v3 - 50|7 - 50
